material,harga,tingkat_kekritisan,rutin_nonrutin,2019,ROQ
"VALVE;CHECK;8"";DN200;125;FL",50404200.00000001,C,NON RUTIN,0,0
VALVE ACC;DIAPHRAGM DN25 PN10 UNION,9350000,C,NON RUTIN,0,0
"VALVE;BALL;2"";DN50;200;FL",30500000,C,NON RUTIN,0,0
"UNIV ACC;KNIFE 150-8""-RF",12749000.000000002,C,NON RUTIN,0,0
"UNIV ACC;KNIFE 150LB-8""-RF",36300000,C,NON RUTIN,0,0
"VALVE;BALL;2 1/2"";DN65;150;FL",16032500.000000002,C,NON RUTIN,0,0
UNIV ACC;VALVE CONTROL DN25,16945000,C,NON RUTIN,2,0.5666666666666667
UNIV ACC;VALVE CONTROL DN40,22945000,C,NON RUTIN,5,1.4166666666666667
UNIV ACC;VALVE CONTROL DN65,44934000,C,NON RUTIN,3,0.85
UNIV ACC;VALVE MANUAL DN25,4920000,C,NON RUTIN,0,0
"VALVE;GLOBE;1"";DN25;300;SW",2200000,C,NON RUTIN,0,0
"VALVE;GLOBE;3/4"";DN20;300;SW",1515000,C,NON RUTIN,0,0
"VALVE;SAFETY;2"";DN50;150;FL",23000000,C,NON RUTIN,0,0
"UNIV ACC;THROTTLE VALVE 3""",6070000,C,NON RUTIN,0,0
"VALVE;BALL;3"";DN80;200;FL",52300000,C,NON RUTIN,0,0
"VALVE;GLOBE;2 1/2"";DN65;1925;SW",527500000,B,NON RUTIN,1,1.1111111111111112
VALVE ACC;DISC ALLOY VITON 350X290X20mm,8500000,C,NON RUTIN,0,0
UNIV ACC;MOTOR FAN AC CWA951830,1000000,C,NON RUTIN,0,0
UNIV ACC;MOTOR FAN AC 4680AP26108,1590000,C,NON RUTIN,0,0
TOOL M;PACKING EXTRACTOR,7500000,C,NON RUTIN,0,0
"TOOL M;PORTABLE CUT OFF SAW 14""",3072300.0000000005,C,NON RUTIN,0,0
TOOL I;FIELD COMMUNICATOR HP1EKL9GM9-475,135400000,C,NON RUTIN,0,0
UNIV ACC;DIAL INDICATOR 10443,2310000,C,NON RUTIN,0,0
TOOL I;MOTOR CURRENT SIGNATURE ANALYZER,599250000,C,NON RUTIN,0,0
SCREW COUP;KIR;KPDS3216;395,7884470.000000001,C,NON RUTIN,0,0
UNIV ACC;BOLT M10X30mm,5900,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT CS M10X50mm,16280.000000000002,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT CS M12X50mm,21000,C,RUTIN,18,131.46666666666667
UNIV ACC;BOLT&NUT M12X80mm+WSH,6050.000000000001,B,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M27X140mm+WSH;8.8,44000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M10X50mm,14000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M12X50mm,22000,C,RUTIN,40,96.33333333333333
UNIV ACC;BOLT&NUT SS M8X50mm,15015.000000000002,C,NON RUTIN,0,0
UNIV ACC;SHACKLE BOLT 1TON,264110,C,NON RUTIN,0,0
UNIV ACC;SHACKLE BOLT 3TON,393470.00000000006,C,NON RUTIN,0,0
UNIV ACC;SHACKLE BOLT 5TON,452760.00000000006,C,NON RUTIN,0,0
UNIV ACC;SOCKET BOLT&NUT M16X50mm+WSH,37125,C,NON RUTIN,0,0
UNIV ACC;SOCKET BOLT&NUT M22X70mm+WSH,17050,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M6X30mm,13800,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M10,80000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M16X40mm+WSH,22550.000000000004,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M16X70mm+S-WSH,7500,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M10X30mm,27200,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M20X100mm+WSH 8.8,53350.00000000001,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M20X110mm+WSH 8.8,64020.00000000001,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M22X160mm+WSH 8.8,98120.00000000001,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M6X20mm+WSH L,25520.000000000004,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M18X160mm,227458.00000000003,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M22X160mm,281358,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT GALV M20X50mm+WSH,10835,C,NON RUTIN,119,33.71666666666666
UNIV ACC;BOLT&NUT&RING M10X20mm SS316L,16120,C,NON RUTIN,0,0
UNIV ACC;BOLT SS M22X240MM,230000,C,NON RUTIN,0,0
UNIV ACC;HEX BOLT&NUT M4X15MM,1900,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT&RING M16X110,32500,C,NON RUTIN,0,0
UNIV ACC;BOLT M4X70MM,6900,C,NON RUTIN,0,0
UNIV ACC;BOLT M5X30MM,3900,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M12X70mm+WSH,28500,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M16X130mm+WSH,38500,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT M8X1.25/50MM WSH,9200,C,NON RUTIN,0,0
"UNIV ACC;RING PUMP SS316 2""",678000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M14X150MM+WSH,48000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M14X70MM+WSH,30000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT SS M8X30mm+W,28000,C,NON RUTIN,0,0
UNIV ACC;HEX BOLT&NUT M16X45MM,89100,C,NON RUTIN,0,0
UNIV ACC;STUD BOLT&NUT SS M30X1000mm,287100,C,NON RUTIN,0,0
UNIV ACC;HEX BOLT&NUT SS M12X68mm,28000,C,NON RUTIN,0,0
UNIV ACC;HEX BOLT&NUT SS M6X22L,8300,C,NON RUTIN,25,85
UNIV ACC;BOLT&NUT SS M12X30MM+,31760,C,NON RUTIN,25,82.5
UNIV ACC;BOLT&NUT SS M6X32MM+W,11610,C,NON RUTIN,25,82.5
UNIV ACC;BOLT&NUT SS M10X30MM+,31760,C,NON RUTIN,25,82.5
UNIV ACC;BOLT&NUT SS M12X120MM,90410,C,NON RUTIN,8,27.5
UNIV ACC;BOLT&NUT SS M10X50MM+,26690,C,NON RUTIN,8,27.5
UNIV ACC;TEN BOLT&NUT SS M24X7,131000,C,NON RUTIN,0,0
UNIV ACC;STUD BOLT&NUT SS M16X1000mm,49500,C,NON RUTIN,0,0
UNIV ACC;STUD BOLT&NUT SS M27X1000mm,198000,C,NON RUTIN,0,0
UNIV ACC;STUD BOLT CS M12X1000MM,17500,C,NON RUTIN,0,0
UNIV ACC;STUD BOLT CS M16X1000MM,37500,C,NON RUTIN,0,0
COUP BOLT;DMW;VPFCM;R324,25510100.000000004,B,NON RUTIN,0,0
"UNIV ACC;WATER MUR PVC 2""",380000,C,NON RUTIN,0,0
"UNIV ACC;FERRULE NUT SS316 1/2"" 10MM",357000,C,NON RUTIN,0,0
"UNIV ACC;WATER MUR PVC 1 1/2""",144000,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT RING M16,3200,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT RING M27,5400,C,NON RUTIN,0,0
UNIV ACC;BOLT&NUT RING M30,19800,C,NON RUTIN,0,0
UNIV ACC;LOCK NUT KM15,455000,C,NON RUTIN,0,0
UNIV ACC;LOCK NUT KM18,886000,C,NON RUTIN,4,1.7777777777777777
UNIV ACC;LOCK NUT KM13,378000,C,NON RUTIN,2,0.8888888888888888
CONNECTOR;DYN;BHP300;DS7527,26180000.000000004,C,NON RUTIN,0,0
IMP;TRS;MHG411;2300,221681900.00000003,C,NON RUTIN,0,0
IMP;TRS;MMTV2005;2310,231298100.00000003,C,NON RUTIN,0,0
ISOLATOR VIB;ARP;GSG75;C64020230A,2150000,C,NON RUTIN,0,0
UNIV ACC;SHEAR PIN 15X52MM CS,422900,C,NON RUTIN,0,0
UNIV ACC;PIVOT PIN & BUSH G85/0,345000,C,NON RUTIN,0,0
GASKET;CVN;63000604D3;286651,4563660,C,NON RUTIN,0,0
PACKING;CVN;63000604D3;368489,4563660,C,NON RUTIN,0,0
SHFT SEAL;DYN;BHP300;DS10314,52294550.00000001,C,NON RUTIN,0,0
SEAL;CLY;63000604D3;CBA00L060,265958,C,NON RUTIN,6,1.7
GASKET;TRS;MHG411;41101,8489800,C,NON RUTIN,0,0
OIL SEAL;NSN;CGB;NOKBD0881F,891000.0000000001,C,NON RUTIN,0,0
SEAL PSTN;NSN;CGB;14453115010,319000,C,NON RUTIN,0,0
PACKING;FUJ;SCC100MW;ST221545P14,150000000,A,NON RUTIN,3,5.083333333333333
GASKET;ARP;GSG75;C301502085,125000,C,NON RUTIN,0,0
GASKET;ARP;GSG75;H37317501,125000,C,NON RUTIN,0,0
SEAL;NOK;2118AB950;40077,959887.5,B,NON RUTIN,2,0.5666666666666667
PACKING;PAT;DT;VHDV161110,2433200,C,NON RUTIN,0,0
PACKING;PAT;DT;VHDV161180,2420000,C,NON RUTIN,0,0
PACKING;PAT;DT;VHDV1611CO,2250600,C,NON RUTIN,0,0
PACKING;PAT;DT;VHDV1611GO,2236850,C,NON RUTIN,0,0
O-SEAL;KIR;KPDS5013;5002,3300850,C,NON RUTIN,0,0
O-SEAL;KIR;KPDS5013;5001,3300850,C,NON RUTIN,0,0
PACKING;KIR;KPDS5013;430,3393500,C,NON RUTIN,0,0
MECHANICAL SEAL;69;28mm;HCL,16555000.000000002,C,NON RUTIN,0,0
PACKING;GLAND;CARBON FIBRE;10mm,46500000,C,NON RUTIN,0,0
PACKING;GLAND;CARBON FIBRE;460X20mm,481800.00000000006,B,NON RUTIN,0,0
PACKING;GLAND;CARBON FIBRE;6mm,44750000,C,NON RUTIN,0,0
PACKING;GLAND;CARBON FIBRE;8mm,49000000,C,NON RUTIN,0,0
PACKING;GLAND;GRAPHITE;10mm,462000,C,NON RUTIN,7,1.9833333333333334
PACKING;GLAND;GRAPHITE;6mm,354200,C,NON RUTIN,7,1.9833333333333334
PACKING;GLAND;GRAPHITE;8mm,6270000.000000001,C,NON RUTIN,0,0
PACKING;GLAND;PTFE;10mm,6650000,C,NON RUTIN,0,0
PACKING;GLAND;PTFE;6mm,5625000,C,NON RUTIN,0,0
PACKING;GLAND;PTFE;8mm,6270000,C,NON RUTIN,0,0
PACKING;GLAND;SS316;100X40X35mm,4250290,C,NON RUTIN,0,0
"PACKING;SHEET;ASBESTOS;1/8""X3""X30000mm",825000,C,NON RUTIN,0,0
PACKING;SHEET;ASBESTOS;3mm,1463000,C,NON RUTIN,2,0.7333333333333334
PACKING;SHEET;ASBESTOS;5mm,2541000,C,RUTIN,2,0.5666666666666667
PACKING;SHEET;PAPER;1200X1000X,192500,C,NON RUTIN,5,1.4166666666666667
PACKING;SHEET;RUBBER;1000X1000X3mm,246400,C,NON RUTIN,10,2.8333333333333335
PACKING;SHEET;RUBBER;150X100X2mm,501270.00000000006,B,NON RUTIN,0,0
SEAL GREASE;TSN 511,524300,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;100X120X12mm,800000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;10X25X7mm,26000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;30X42X7mm,31000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;31X51X7mm,165000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;35X37X12mm,253000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;35X58X7mm,165000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;39X58X7mm,165000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;40X25X10mm,25409,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;45X65X12mm,39000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;47X66X7mm,170000,C,NON RUTIN,0,0
"SEAL;OIL;RUBBER;5.626X4X0.375""",465000,B,RUTIN,4,1.1333333333333333
SEAL;OIL;RUBBER;50X29X10mm,165000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;55X78X12mm,61000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;65X48X10mm,39000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;68X90X10mm,715000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;75X100X13mm,57000,C,NON RUTIN,0,0
SEAL;STRIP;;348X244X15mm,1940400.0000000002,C,NON RUTIN,0,0
SWG;435X400X5mm;,400000,C,NON RUTIN,0,0
SEAL;OIL;VITON;40X52X7mm,49775.00000000001,C,NON RUTIN,0,0
SEAL GREASE;NBR ZF 13,410000,C,NON RUTIN,1,0.4444444444444444
SEAL GREASE;NBR ZF 18,510000,C,NON RUTIN,0,0
PACKING;GLAND;GRAPHITE;12mm,539000,C,NON RUTIN,7,1.9833333333333334
SEAL;AIR;RUBBER;6000X30X30mm,2350000,C,NON RUTIN,0,0
SEAL;STRIP;;244X184X15mm,1724800.0000000002,C,NON RUTIN,0,0
"SWG;8"";CLASS 150 SS 316",375000,C,NON RUTIN,0,0
PACKING;GLAND;ASBESTOS;150X310mm,29150000,B,NON RUTIN,0,0
SEAL;OIL;RUBBER;200X230X15mm,1078000,B,NON RUTIN,0,0
PACKING;SHEET;FIREFLY TBA;0.5m,130000,C,NON RUTIN,0,0
SEAL;BUSHING;VITON;90/115mm,3630000.0000000005,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;7000X170X10mm,15000000,C,NON RUTIN,0,0
SEAL;OIL;TC;19X32X8mm,33000,C,NON RUTIN,30,8.5
PACKING;TOMBO1000;1mm,165000,C,NON RUTIN,0,0
PACKING;TOMBO1000;2mm,375000,C,NON RUTIN,0,0
PACKING;TOMBO1000;3mm,539000,C,NON RUTIN,5,1.375
SEAL;OIL;RUBBER;35X80X12mm,253000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;25X40X10,352000,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;35X72X10,430100.00000000006,C,NON RUTIN,0,0
SWG;405X448X5mm;WG,731500,C,NON RUTIN,4,1.1333333333333333
MECHANICAL SEAL;FH-25;25mm;OIL,3734500.0000000005,C,NON RUTIN,0,0
MECHANICAL SEAL;FH-40;40mm;OIL,4374700,C,NON RUTIN,0,0
MECHANICAL SEAL;CARTRIDGE;80MM;WATER,95000000,C,NON RUTIN,0,0
SEAL;STRIP;;190X230X15mm,2153700,C,RUTIN,4,13.6
GASKET;1000X1000X0.5MM;TEFLON,1045000.0000000001,C,NON RUTIN,0,0
GASKET;1000X1000X1MM;TEFLON,1650000.0000000002,C,NON RUTIN,0,0
MECHANICAL SEAL;450LVA;32MM;SEA WATER,44325000,C,NON RUTIN,0,0
SEAL;OIL;TC;183072,62700.00000000001,C,NON RUTIN,30,8.5
SEAL;OIL;VITON;SB19022516,1568050.0000000002,C,NON RUTIN,0,0
SEAL;OIL;VITON;TB19022516,1568050.0000000002,C,NON RUTIN,1,0.2833333333333333
GASKET;1500X1500X6mm;TEFLON,3257100,C,NON RUTIN,2,0.5666666666666667
SEAL;;METAL;19.4X21.9X26.3MM,3910000,C,NON RUTIN,0,0
SEAL;;METAL;21.3X23.8X29.5MM,6000000,C,NON RUTIN,0,0
"SWG;1"";CLASS 300 SS304",43890,C,NON RUTIN,11,3.1166666666666663
"SWG;12"";CLASS 300 SS304",570845,C,NON RUTIN,0,0
"SWG;3"";CLASS 300 SS304",149380,C,NON RUTIN,0,0
"SWG;8"";CLASS 1500 SS304",762300,B,RUTIN,4,1.1333333333333333
"SWG;8"";CLASS 300 SS304",384120.00000000006,C,NON RUTIN,0,0
SEAL;OIL;NBR;DRIVE SIDE,1320000,C,NON RUTIN,0,0
SEAL;OIL;NBR;GEAR SIDE,1320000,C,NON RUTIN,0,0
SEAL;OIL;NBR;Z,1650000.0000000002,C,NON RUTIN,0,0
GASKET;8X1200X2500MM;NITRILE CORK,60000000,C,NON RUTIN,0,0
"SWG;1"";CLASS 1500 SS304",17900,C,NON RUTIN,0,0
"SWG;2"";CLASS 1500 SS304",22900,C,NON RUTIN,0,0
"SWG;3"";CLASS 1500 SS304",133900,C,NON RUTIN,0,0
"SWG;4"";CLASS 1500 SS304",246700,C,NON RUTIN,0,0
"SWG;6"";CLASS 1500 SS304",313500,C,NON RUTIN,0,0
SEAL GREASE;TS 44,4320000,C,NON RUTIN,0,0
SEAL GREASE;TSN 515,543900,C,NON RUTIN,0,0
MECHANICAL SEAL;CARTRIDGE;58MM;WATER,71000000,C,NON RUTIN,0,0
UNIV ACC;PACKING TOMBO 6MM,1790000,B,NON RUTIN,1,0.2833333333333333
SEAL;OIL;SOG;107508 4060 7,40000,C,NON RUTIN,0,0
SEAL;OIL;TC;1932810,30000,C,NON RUTIN,0,0
SEAL;OIL;TC;3252717,40000,C,NON RUTIN,0,0
SEAL;OIL;TC;608512,40000,C,NON RUTIN,0,0
"PACKING ;GLAND;SS316;2""X100MM",1000000,C,NON RUTIN,0,0
PACKING ;SHEET;RUBBER;1000X1000X1MM,2375000,C,NON RUTIN,0,0
PACKING ;TOMBO1000;5MM,1300000,C,NON RUTIN,0,0
PACKING ;TOMBO1995;3MM,870100,C,RUTIN,20,5.666666666666667
PACKING ;TOMBO1995;5MM,1501500,C,RUTIN,1,0.2833333333333333
"SEAL;ASH;RUBBER;8""",845000,C,NON RUTIN,0,0
SEAL;OIL;VITON;100X5MM,113500,C,NON RUTIN,0,0
SEAL;OIL;VITON;120X3MM,113500,C,NON RUTIN,0,0
SEAL;OIL;VITON;145X3.5MM,144000,C,NON RUTIN,0,0
SEAL;OIL;VITON;80X4MM,105000,C,NON RUTIN,0,0
SWG;DN40;JIS10K,64000,C,NON RUTIN,0,0
"SWG;3"";CLASS 150 SS304",118000,C,NON RUTIN,0,0
GASKET;GRAPHITE;175X200X4.5MM,4000000,C,NON RUTIN,0,0
GASKET;GRAPHITE;225X250X4.5MM,4000000,C,NON RUTIN,0,0
PACKING;GLAND;SS316;3/8''X60MM,750000,C,NON RUTIN,0,0
MECHANICAL SEAL;SINGLE SPRING;73MM;HSD,9600000,A,NON RUTIN,0,0
"SWG;1 1/2"";CLASS 300 SS304",60830,C,NON RUTIN,7,1.9833333333333334
"SWG;4"";CLASS 150 SS304",149000,C,NON RUTIN,0,0
"SWG;10"";CLASS 150 SS304",495000,C,NON RUTIN,0,0
"SWG;12"";CLASS 150 SS304",758450,C,NON RUTIN,5,1.8333333333333335
"SWG;2"";CLASS 300 SS304",73920,C,NON RUTIN,8,2.2666666666666666
PACKING;GLAND;GRAPHITE;40X60X10mm,1200000,C,NON RUTIN,0,0
MECHANICAL SEAL;CARTRIDGE;65MM;WATER,61820000,C,NON RUTIN,0,0
SEAL;OIL;TC;130X160X14MM,2079000,C,NON RUTIN,0,0
SEAL;OIL;TC;150X140X14MM,2673000,C,NON RUTIN,0,0
SEAL;OIL;TC;35X55X11MM,267300,C,NON RUTIN,0,0
SEAL;OIL;TC;45X68X12MM,376200,C,NON RUTIN,0,0
SEAL;OIL;TC;55X78X12MM,396000,C,NON RUTIN,0,0
SEAL;OIL;TC;65X90X13MM,564300,C,NON RUTIN,0,0
SEAL;OIL;SOG;60X80X10X4MM,792000,C,NON RUTIN,0,0
SEAL STRIP;338X303.5X17mm,2950000,C,NON RUTIN,0,0
PACKING;SHEET;RUBBER;3MMX1.2MX,6930000,C,NON RUTIN,1,0.2777777777777778
SEAL;OIL;BACK STOP;4077,440440,C,NON RUTIN,6,1.6666666666666667
O-RING;DYN;BHP300;DS10306,550000,C,NON RUTIN,0,0
O-RING;DYN;BHP300;DS7526,7330400.000000001,C,NON RUTIN,0,0
O-RING;DYN;BHP300;DS7605,550000,C,NON RUTIN,0,0
O-RING;DYN;BHP300;DS7613,550000,C,NON RUTIN,0,0
RING;DYN;BHP300;DS10313,9032100,C,NON RUTIN,0,0
CASE WEAR;DMW;VPFCM;C711,12735800.000000002,C,NON RUTIN,0,0
OIL SEAL;TRS;CDM350LN;JISG48628,178000,C,RUTIN,0,0
OIL SEAL;TRS;CDM350LN;JISG55789,320100,C,NON RUTIN,0,0
O-RING;TRS;MMTV2005;41201A,1527900.0000000002,C,NON RUTIN,0,0
O-RING;TRS;MMTV2005;41202A,1401400,C,NON RUTIN,0,0
O-RING;TRS;MMTV2005;41203A,4757500,C,NON RUTIN,0,0
O-RING;TRS;MMTV2005;41205A,284900,C,NON RUTIN,0,0
BALL BEAR;DMW;10VPFCM;B101,17144600,C,NON RUTIN,0,0
SUB SHFT BEAR;DMW;10VPFCM;B163,25661900.000000004,C,NON RUTIN,2,0.5666666666666667
CASE WEAR;DMW;10VPFCM;C712,12735800.000000002,C,NON RUTIN,0,0
PACK SLEEVE;DMW;10VPFCM;R237,11939400.000000002,C,NON RUTIN,0,0
INTRMDT SHFT COUP;DMW;10VPFCM;R341,61244700.00000001,C,NON RUTIN,0,0
O-RING;DMW;10VPFCM;S1112,1808000,C,NON RUTIN,0,0
O-RING;TRS;MMTV2005;41204,1086800,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340215185,650000,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340215260,840000,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340215115,230000,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340225020,35000,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340225014,35000,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340225009,35000,C,NON RUTIN,0,0
OIL SEAL;ARP;GSG75;C501502490,4900000,C,NON RUTIN,0,0
INNER RING;ARP;GSG75;C501502493,2300000,C,NON RUTIN,0,0
O-RING;ARP;GSG75;H340215150,230000,C,NON RUTIN,0,0
O-RING;PAT;DT;VHDV161140,862400.0000000001,C,NON RUTIN,0,0
CASE WEAR RING;KIR;KPDS3216;190,5466670,C,NON RUTIN,0,0
IMP WEAR RING;KIR;KPDS3216;192,4379815,C,NON RUTIN,0,0
O-RING;KIR;KPDS3216;523,614460,C,NON RUTIN,0,0
O-RING;NBR;460X440mm,28600.000000000004,C,NON RUTIN,0,0
O-RING;NBR;C60G-1;3mm,1988800.0000000002,C,NON RUTIN,0,0
O-RING;NBR;C60G-2;3mm,1988800.0000000002,C,NON RUTIN,0,0
O-RING;NBR;C60G-3;3mm,1988800.0000000002,C,NON RUTIN,0,0
O-RING;NBR;C60G-4;3mm,1988800.0000000002,C,NON RUTIN,0,0
O-RING;NBR;DIA 4mm,132000,C,NON RUTIN,0,0
O-RING;NBR;DIA 5mm,185000,C,NON RUTIN,2,0.5777777777777777
O-RING;NBR;R237G;3mm,1808000,C,NON RUTIN,0,0
O-RING;VITON;5.33X158.12mm,1024100.0000000001,C,NON RUTIN,0,0
O-RING;VITON;8.4X359.5mm,1428350,C,NON RUTIN,0,0
O-RING;NBR;A121G,1217700,B,NON RUTIN,0,0
O-RING;VITON;440X10mm,1101100,B,NON RUTIN,5,1.4166666666666667
O-RING;NITRIL70SH;114.5X3MM,29500,C,NON RUTIN,0,0
O-RING;NITRIL70SH;64.5X3MM,19500,C,NON RUTIN,0,0
O-RING;VITON;100.55X5.10MM,55000,C,NON RUTIN,12,3.4
O-RING;VITON;120.75X3MM,59000,C,NON RUTIN,14,3.966666666666667
O-RING;VITON;144.33X3.5MM,58000,C,NON RUTIN,12,3.4
O-RING;VITON;82.21X4MM,50000,C,NON RUTIN,12,3.4
O-RING;NBR;DIA 1MM,185000,C,NON RUTIN,0,0
O-RING;VITON;7.5MM,185000,C,NON RUTIN,0,0
O-RING;VITON;158X5.5MM,377300,C,NON RUTIN,8,2.2222222222222223
SCREEN;PRIMARY;2050X1500X6mm,7508600.000000001,B,NON RUTIN,0,0
SCREEN;WITCHES;385X420X24mm,33495000,B,NON RUTIN,0,0
SCREEN;PRIMARY;1500X575X3mm,14647000,C,NON RUTIN,0,0
SCREEN;SECONDARY;2050X1500X0.95mm,28550000,B,NON RUTIN,0,0
SCREEN;WITCHES;380X270X432MM,30450000,B,NON RUTIN,0,0
UNIV ACC;SCREEN 2000X6000MM,83725000,C,NON RUTIN,0,0
SCREEN;LOWER;1500X575X2MM,9751000,C,NON RUTIN,0,0
UNIV ACC;SCREEN SS MESH 0.7MM,338000,C,NON RUTIN,0,0
UNIV ACC;SCREEN SS MESH 20MM,2534000,C,NON RUTIN,0,0
UNIV ACC;SCREEN SS MESH 6MM,1490000,C,NON RUTIN,0,0
UNIV ACC;HYDRAULIC CYLINDER TILT C952D,31000000,C,NON RUTIN,0,0
COIL;RRH;63000604D3;498317707,225500.00000000003,C,NON RUTIN,0,0
BUSH;DMW;VPFCM;R233,NA,NA,NON RUTIN,0,NA
WEAR RING;TRS;MMTV2005;50201,6650000,C,NON RUTIN,0,0
WEAR RING;TRS;MMTV2005;50202,6650000,C,NON RUTIN,0,0
BUSH;DMW;10VPFCM;C723,4101000,C,NON RUTIN,0,0
LOCATING RING;FRB;100/9.5mm,142100,C,NON RUTIN,0,0
LOCATING RING;FRB;250/15mm,246000,C,NON RUTIN,0,0
SHIM;SS;0.05X300X1000mm,476300.00000000006,C,NON RUTIN,0,0
SHIM;SS;0.1X300X1000mm,691533.3333333334,C,NON RUTIN,0,0
SHIM;SS;0.2X300X1000mm,732050,C,NON RUTIN,0,0
SHIM;SS;0.3X300X1000mm,750750,C,NON RUTIN,0,0
SHIM;SS;0.5X300X1000mm,605000,C,NON RUTIN,0,0
SHIM;SS;1X300X1000mm,1016180.0000000001,C,NON RUTIN,0,0
TRF ACC;HV BUSHING 52 NF1000,5555000,C,NON RUTIN,0,0
SHIM;SS;0.02X300X1000mm,470800.00000000006,C,NON RUTIN,0,0
LOCATING RING;FRB;10/370,1500000,C,NON RUTIN,0,0
UNIV ACC;RING BRONZE 90X171X10mm,950000,C,NON RUTIN,2,0.5666666666666667
TRF ACC;HV BUSHING CRX170/325-800,22782000,C,NON RUTIN,0,0
TRF ACC;LV BUSHING 30NF/8000,47900000,C,NON RUTIN,0,0
LOCATING RING;FRB;130/12.5mm,225400,C,NON RUTIN,0,0
LOCATING RING;FRB;130/13mm,160000,C,NON RUTIN,2,0.8888888888888888
TOOL M;MACHINERY HEALTH ANALYZER CSI2140,1202200000,C,NON RUTIN,0,0
LOCATING RING;FRB;18MM,269000,C,NON RUTIN,4,1.7777777777777777
TRF ACC;OIL SEAL LV BUSHING 30,21715000,A,NON RUTIN,0,0
CAPACITOR;250VAC;1P;25uF,55000.00000000001,C,NON RUTIN,0,0
CAPACITOR;220V;1P;12uF,23100.000000000004,C,NON RUTIN,0,0
FUSE;7.2kV;200A;TUBE;,25421000,C,NON RUTIN,3,0.85
MCB;220V;1P;6A;50Hz;,450000,C,NON RUTIN,0,0
MCB;400V;3P;9-14A;50Hz;,1320000,C,NON RUTIN,0,0
CB;K;7.2kV;3000A;40kA;SPRING;3P;VACUM,219250000,A,NON RUTIN,0,0
CB;AIR;400V;1000A;65KA;SPRING;3P;VACUUM,67100000.00000001,C,NON RUTIN,0,0
CB;AIR;400V;1250A;65KA;SPRING;3P;VACUUM,96250000.00000001,C,NON RUTIN,0,0
CB;AIR;400V;630A;65KA;SPRING;3P;VACUUM,63470000.00000001,C,NON RUTIN,0,0
CB;AIR;400V;800A;65KA;SPRING;3P;VACUUM,95150000.00000001,C,NON RUTIN,0,0
CB;VCB;7.2KV;3000A;40KA;SPRING,246750000,C,NON RUTIN,1,0.7777777777777778
CB;AIR;1000V;800A;12KV;;3P;,280325000,C,NON RUTIN,0,0
PROXY SWT;TWX;63000604D3;7713528A2,10890000,C,NON RUTIN,0,0
